# 花语花园种子清单
# 列：中文名 | 英文名 | 学名 | 科 | 颜色（、分隔） | 别名（、分隔） | 花语 | 花期 | 简介 | 形态特征 | 花语与文化 | 分布与养护
# 以 # 开头的行会被忽略
name	en	latin	family	colors	aliases	meaning	season	blurb	morph	culture	care
梅花	Plum blossom	Prunus mume	蔷薇科	红、粉、白	春梅、干枝梅	坚强、高洁	冬春	凌寒独自开，报春第一枝。	落叶乔木，先花后叶，花单生或并生，白粉或红色，香气清冽。	岁寒三友之一，象征坚强高洁，文人常以咏梅言志。	原产中国，喜光耐寒，宜排水良好的微酸性土壤。
腊梅	Wintersweet	Chimonanthus praecox	腊梅科	黄	蜡梅、黄梅花	慈爱、坚韧	冬	金黄色的花朵在寒冬中绽放。	落叶灌木，花蜡黄色，内层带紫红晕，冬季先叶开放，香气浓郁。	寒冬绽放，象征慈爱与坚韧，是岁朝清供之花。	原产中国中部，喜光耐寒，耐修剪，忌积水。
桃花	Peach blossom	Prunus persica	蔷薇科	粉、红	碧桃、花桃	爱情、好运	春	灼灼其华，春日的浪漫符号。	落叶小乔木，花单生枝顶，粉红或白色，先叶开放，烂漫成霞。	象征爱情与好运，桃花运即指美好缘分。	原产中国，喜光喜排水，花后需疏枝。
樱花	Cherry blossom	Prunus serrulata	蔷薇科	粉、白	山樱花	生命、希望	春	落樱如雪，短暂而绚烂。	落叶乔木，花三五朵成伞房状，白或淡粉，花瓣顶端有缺口。	象征生命与希望，落樱之美喻绚烂易逝。	原产东亚，喜光喜湿润，注意防治蚜虫与流胶。
杏花	Apricot blossom	Prunus armeniaca	蔷薇科	白、粉	杏子花	春色、羞涩	春	淡雅清秀，春意盎然的信使。	落叶乔木，花单生，白色或淡粉，先叶开放，花萼反折。	象征春色与羞涩，杏花春雨是经典江南意象。	原产中国北方，喜光耐旱，忌低洼积水。
梨花	Pear blossom	Pyrus pyrifolia	蔷薇科	白	沙梨花	纯洁、陪伴	春	满树洁白，如雪落枝头。	落叶乔木，伞形花序，花白色，花药紫红，叶卵形。	象征纯洁，雨打梨花常喻孤寂与思念。	原产中国，喜光，抗寒耐旱，注意梨锈病。
李花	Plum blossom (Prunus salicina)	Prunus salicina	蔷薇科	白	中国李花	纯真	春	细碎白花，清新素雅。	落叶小乔木，花二三朵簇生，白色细小，繁密如雪。	象征纯真，桃李满天下喻育人成果。	原产中国，喜光耐旱，结果枝需合理修剪。
苹果花	Apple blossom	Malus domestica	蔷薇科	白、粉	林檎花	平实、美好	春	花白微粉，果香的前奏。	落叶乔木，伞房花序，花白带粉晕，与叶同放。	象征平实与美好，亦喻丰收与圆满。	原产亚洲与欧洲，喜光喜凉，需配置授粉树。
海棠花	Crabapple blossom	Malus spectabilis	蔷薇科	粉	西府海棠	温柔、思念	春	花姿潇洒，花开似锦。	落叶小乔木，花簇生，粉红色，花梗细长，花姿潇洒。	海棠无香，花语温柔思念，是传统名花。	原产中国，喜光耐寒，喜湿润怕涝。
垂丝海棠	Hall crabapple	Malus halliana	蔷薇科	粉	垂枝海棠	温婉	春	花梗下垂如丝，楚楚动人。	落叶小乔木，花梗细弱下垂，花粉红色，伞房花序。	象征温婉，垂丝之姿如少女低眉。	原产中国，喜光，宜肥沃湿润土壤。
贴梗海棠	Flowering quince	Chaenomeles speciosa	蔷薇科	红、粉、白	皱皮木瓜	热情	春	枝干遒劲，红花如火。	落叶灌木，花单生叶腋，猩红或粉白，枝干有刺。	象征热情，早春红艳如火。	原产中国，喜光耐寒，萌蘖力强。
榆叶梅	Flowering plum	Prunus triloba	蔷薇科	粉	小桃红	春意	春	花似梅花叶如榆，粉霞满枝。	落叶灌木，花单瓣或重瓣，粉红色，叶形似榆。	象征春意，北方春日重要花灌木。	原产中国北方，喜光耐寒，耐旱怕涝。
珍珠梅	False spirea	Sorbaria sorbifolia	蔷薇科	白	山高粱条子	清净	夏	白色小花成串，如珍珠瀑布。	落叶灌木，羽状复叶，白色小花密集成圆锥花序。	象征清净，夏日花似串串珍珠。	原产东亚，喜光也耐半阴，病虫害少。
绣线菊	Bridal wreath spirea	Spiraea salicifolia	蔷薇科	白、粉	柳叶绣线菊	纯洁	春夏	细碎小花簇拥成团。	落叶灌木，伞形或圆锥花序，白或粉色小花繁密。	象征纯洁，是庭院基础花灌木。	原产北半球温带，喜光耐旱，萌芽力强。
山楂花	Hawthorn blossom	Crataegus pinnatifida	蔷薇科	白	山里红	守护	春	白花如雪，秋来红果满枝。	落叶小乔木，伞房花序，花白色，花药粉色。	象征守护，秋日红果寓意收获。	原产中国，喜光耐寒，抗逆性强。
玫瑰	Rose	Rosa rugosa	蔷薇科	红、粉、白	刺玫、徘徊花	热烈的爱	春夏	带刺而温柔，爱情与浪漫的象征。	落叶灌木，茎密生皮刺，花单瓣或重瓣，红粉白等色，香气浓郁。	爱情的象征，玫瑰之约是浪漫的代名词。	原产东亚，喜光喜肥，需修剪通风防病。
月季	China rose	Rosa chinensis	蔷薇科	多彩	月月红、四季花	热情、持之以恒	四季	花中皇后，四季常开。	常绿或半常绿灌木，花多季开放，色彩极丰，花中皇后。	象征热情与持之以恒，中国十大名花之一。	原产中国，喜光，需勤修剪与防治病虫害。
蔷薇	Multiflora rose	Rosa multiflora	蔷薇科	粉、白	野蔷薇	浪漫、思念	春夏	爬满篱墙的粉色浪漫。	落叶攀援灌木，圆锥花序，粉白小花繁密带香。	象征浪漫与思念，爬满篱墙的经典意象。	原产东亚，喜光耐寒，需支架牵引。
香水月季	Tea rose	Rosa odorata	蔷薇科	粉、黄、白	茶香月季	优雅	春夏	花香清甜，色韵柔和。	藤性灌木，花朵硕大，粉黄或白色，茶香馥郁。	象征优雅，是玫瑰园中的香气担当。	栽培品种，喜光喜肥，冬季需防寒。
木香花	Banks rose	Rosa banksiae	蔷薇科	白、黄	木香、七里香	纯洁	春夏	花开成瀑，香飘数里。	落叶攀援灌木，花白或黄，多朵成伞形，香气远播。	象征纯洁，十里香是庭院经典。	原产中国，喜光耐半阴，藤蔓需牵引。
山茶花	Camellia	Camellia japonica	蔷薇科	红、粉、白	茶花、曼陀罗树	理想的爱	冬春	花大色艳，经冬不凋。	常绿灌木或小乔木，花大，红粉白各色，花瓣层层叠叠。	象征理想的爱，云南名花，冬日盛放。	原产东亚，喜半阴酸性土，怕涝怕晒。
