# 故事尾句去重替换：中文名 | 新尾句（替换原末句，补充新信息）
文殊兰	养护上它喜温暖湿润与半阴环境，地栽于庭前水边尤佳。
卷丹	它喜凉爽阳光，球茎秋季分植，栽培时需立支柱防倒伏。
大花萱草	它耐寒耐旱，几乎无病虫害，是"种下就不用人管"的省心花。
玉簪	它忌强光直射，盆栽置于北阳台或树荫下，夏日自有一片清凉。
溪荪	它适合与菖蒲、再力花同植于水岸，成片时如一条蓝紫色的缎带。
番红花	它秋季种下、早春开花，球茎可连续复花数年，是秋冬花境最早的信使。
大花葱	它球根需干燥越冬，春季发芽，是花境里最出片的"棒棒糖"。
蝴蝶兰	它养护需散射光与通风，浇水见干见湿，一支花箭可开两三个月。
兜兰	它喜凉爽湿润的荫蔽环境，是兰展与植物园温室的常驻明星。
石斛	它附生栽培需透气基质，春夏花期如瀑布垂落，兼具观赏与养生。
鹤顶兰	它喜温暖湿润，盆栽宜大盆深土，花期初夏，花朵可陆续开放数周。
鹤望兰	它喜光耐旱，盆栽需深盆，切花水养可达两周，是花艺师的宠儿。
梭鱼草	它适合水池边缘浅水种植，与睡莲、再力花搭配成层次分明的湿地景观。
波斯菊	它耐旱耐贫瘠，种子一撒便开花，是新手第一次"播种成功"的花。
硫华菊	它喜光耐热，夏季播种秋季看花，是花海景观里的"金色劳模"。
翠菊	它切花瓶插寿命长，也是花坛秋色的常客，养护简单。
百日草	它喜光耐热，花后及时修剪可促进二次开花，是"越剪越旺"的花。
小丽花	它适合盆栽与花坛镶边，块根可多年复花，秋天收根储存即可。
德国洋甘菊	它泡茶香气清雅，花后可反复采收，是药草园里的"温柔劳模"。
大滨菊	它耐寒好养，花后可齐地修剪，很快又能抽出新花苞。
滨菊	它喜欢阳光充足的开阔地，成片种植时是最经典的"野花草坪"主角。
堆心菊	它适合阳光充足的花境，与金光菊、松果菊搭配，秋色层次分明。
蓝眼菊	它适合阳台盆栽与花坛镶边，喜干怕湿，浇水宁少勿多。
勋章菊	它适合阳光充足的窗台，花盆宜浅不宜深，土干再浇。
蛇鞭菊	它切花水养可开两周，成片种植时是花境里的"紫色竖线"。
麦秆菊	它干花可保存数年，是制作花环与干花相框的经典材料。
矢车菊	它春播秋播皆宜，花瓣可泡茶，是"好看又能喝"的野花。
飞燕草	它喜凉爽气候，适合切花与花境后排，全株有毒需注意儿童安全。
花毛茛	它切花水养可开一周，块根夏季休眠，秋凉后再种，年年复花。
大花铁线莲	它根系喜凉，根部可覆盖碎石或地被植物，藤蔓则尽情晒阳光。
角堇	它小巧耐寒，播种后约两个月开花，是冬季窗台的点缀。
紫花地丁	它适合草坪缀花，种子自播繁衍，是"越踩越精神"的地被花。
满天星	它干花与鲜花皆美，配花束时轻轻几枝，便有了"星星点灯"的效果。
肥皂草	它适合野花花园与路边坡地，几乎不需要打理就能年年复花。
柳叶马鞭草	它花期从夏到秋，成片种植时是拍"紫色花海"照片的绝佳背景。
鼠尾草	它全株可入香入菜，干燥后制成香囊，放在衣橱里能驱虫添香。
一串蓝	它耐热耐晒，盛夏是它的主场，花穗剪下后还会继续萌发新花。
金鱼草	它春播秋播皆宜，花穗是切花的优质材料，颜色丰富耐放。
毛地黄	它喜半阴凉爽，适合林下花境，种子自播繁衍，年年不请自来。
钓钟柳	它喜光耐旱，适合岩石园与花境前排，花朵是蜂鸟的最爱。
风铃草	它适合凉爽地区，夏季高温时适当遮阴，花期能持续一个月。
洋桔梗	它瓶插寿命可达两周，是花店里的"省心切花"，婚礼花束常见。
报春花	它花期早，盆栽适合窗台，花后养球根，来年还能再开。
藏报春	它喜冷凉湿润，适合高山庭园，是报春花家族里的"高原美人"。
瓜叶菊	它花期长花色艳，适合冬春室内观赏，浇水避免淋湿花叶。
六倍利	它喜凉爽，忌酷暑暴晒，夏季移到半阴处仍能持续开花。
月光花	它适合庭院廊架与篱笆，夜风吹过时花朵轻轻摇曳，别有一番情致。
旱金莲	它的种子还能腌制代替酸豆，是"能看又能吃"的阳台花。
非洲凤仙	它扦插极易成活，剪下的枝条插土即活，适合布置背阴的阳台角落。
夜来香	它适合庭院角落，夜晚香气袭人，盆栽需充足阳光与通风。
白车轴草	它耐踩耐旱，是草坪绿化的好帮手，还能固氮养土。
香豌豆	它喜凉爽，春末夏初开花，藤蔓适合篱笆与花架。
豌豆花	它春播秋播皆宜，藤蔓攀架而生，花谢后结出脆甜的豌豆荚。
紫叶酢浆草	它喜散射光，适合桌面盆栽，缺水时叶片会闭合提醒你浇水。
八宝景天	它冬季地上部分枯萎，春天根芽重生，年年准时开花。
佛甲草	它几乎不需要浇水施肥，是"种下去就忘了"的省心绿植。
大岩桐	它适合室内明亮处，花期后剪去残花，球根可再次萌发开花。
小木槿	它勤修剪多施肥，花量会翻倍，是阳台花友练习修剪的好素材。
黄槐	它花期长，落叶后稍加修剪即可整形，是南方秋冬最醒目的行道树。
耧斗菜	它适合林下与阴面花境，种子自播繁衍，年年都有新惊喜。
蓝刺头	它耐旱耐寒，花后结出的球果同样有看头，是生态花园的常客。
金银木花	它耐寒耐旱，秋冬果实挂枝可越冬，是北方鸟儿的重要食物。
琼花	它春季开花如银盘，秋季红果满枝，四季都有看头。
火棘花	它耐修剪，适合绿篱与盆景造型，秋冬果实满枝，观赏期极长。
郁李花	它早春开花如粉云，初夏结出小果，庭院里四季都有景可看。
紫叶李花	它的紫红新叶全年可赏，是行道树里少有的"彩叶常青"。
草莓花	它喜阳光，结果期需充足水分，一颗草莓从花到果只要一个月。
米兰花	它喜光耐旱，日常养护简单，花香在阳光充足时最浓郁。
络石花	它耐阴耐旱，攀爬力强，适合装饰墙面与廊柱，四季常绿。
龙吐珠	它喜温暖湿润，冬季需移入室内，是南国庭院与阳台的特色花。
朱顶红	它一箭可开四到六朵大花，花谢后养好球根，来年春节还会再开。
蓝星花	它养护简单，耐热耐旱，阳台种一盆，几乎每天都有新花绽放。
檵木花	它耐修剪，适合造型成球或绿篱，一年四季绿叶常青。
红花檵木	它耐修剪易造型，是盆景与绿篱的热门素材，彩叶全年不褪。
帝王花	它切花可保存数周，干燥后仍姿态完整，是"花中持久冠军"。
针垫花	它适合干燥气候，切花可养十天以上，是花艺课上的"异域教具"。
木百合	它忌积水，适合沙质土壤与岩石园，是南非荒原的代表植物。
四季海棠	它几乎全年开花，耐半阴，是花坛镶边与窗台装饰的"常青劳模"。
丽格海棠	它花期长，浇水见干见湿，避免淋湿花瓣，是室内盆栽的"贵妇花"。
无忧花	它花期在春夏，花朵生于老枝之上，树形挺拔，适合庭院与寺院种植。
黄花风铃木	它花期极短，盛放时满树金黄，落叶后光秃的枝干等来年再爆花。
依兰花	它喜高温高湿，花朵清晨采摘香气最佳，是热带花园的"香水树"。
花菖蒲	它适合浅水种植，花后分株繁殖，是水边花境里每年初夏的约定。
紫苏花	它叶可食可入药，种子榨油，是"从叶到籽都有用"的香草。
马醉木花	它早春先花后叶，白铃串挂满枝头，是庭院里难得的早春白花。
蓝铃花	它适合林下成片种植，春天的蓝色花海是英国森林的招牌景观。
圣诞玫瑰	它耐寒怕热，夏季需遮阴，冬季开花，是花园里最晚的惊喜。
铁筷子	它喜阴凉湿润，适合林下与北墙根，是冬季花园的"常青客"。
南天竹花	它耐阴耐寒，秋冬果实经冬不落，摆一瓶在案头便有年味。
探春花	它耐寒好养，枝条柔软可整形，早春花开时是庭院最早的黄色。
墨西哥鼠尾草	它花期从秋开到初冬，是蜜蜂与蝴蝶的秋季食堂。
鸟尾花	它喜暖湿环境，适合温室栽培，花朵如橙焰般醒目。
蓝花草	它耐热耐晒，养护几乎零门槛，是城市绿化带里最勤快的花。
金苞花	它喜高温高湿，冬季需保温，苞片层层叠叠可观赏数月。
蝎尾蕉	它适合热带庭院与温室栽培，垂吊的花序是花艺设计里的"异域点睛"。
红千层	它花丝密集成刷，成片种植时如一排排红色的试管刷，是南国行道树里的"网红"。
大花天竺葵	它花期集中，适合花坛与窗台盆栽，花后及时修剪可再次爆花。
