# 故事补长清单 D：中文名 | 补充句（追加到原故事末尾）
玉簪	生于林下阴处，花白香幽，是"江南第一花"，庭院树荫下自成一景。
石斛	生于树干石壁，紫白花下垂，铁皮石斛是传统滋补"仙草"。
万代兰	生于热带雨林，花圆色艳，花期长，是新加坡的国花。
芡实花	生于水田，紫花藏于叶心，种仁即江南"鸡头米"，是水乡美味。
大花铁线莲	攀于拱门篱笆，花径可达十余厘米，是"藤本皇后"中的名门。
荷包牡丹	生于林下阴处，粉红心形花串，是罂粟科却以牡丹之名流传。
虞美人	生于田野，花瓣薄如绢，是"霸王别姬"传说与京剧意象的花。
桔梗	生于山野，蓝花如铃，根是泡菜与药草，也是《犬夜叉》角色之名。
橙花	原产地中海，白瓣黄蕊香甜，是香水经典香调与婚礼传统花材。
金丝梅	生于山野田边，黄花蕊长，比金丝桃更耐寒，是初夏的明媚。
忽地笑	生于山野，金黄花开如大笑，花叶不相见，可提取药物成分。
旅人蕉花	生于马达加斯加，叶柄储水，白花如鹤，是热带园林标志植物。
凤眼莲	生于水面，紫花带孔雀眼斑，繁殖惊人，是美丽而危险的"入侵者"。
洋甘菊	原产欧洲，白瓣黄心香如苹果，是安神茶与护肤品的经典原料。
毛地黄	生于林缘草甸，紫红花钟如狐狸手套，是强心药洋地黄的来源。
羽扇豆	原产北美，花穗如宝塔，是《鲁冰花》中母爱与乡愁的象征。
长寿花	原产马达加斯加，花小而繁，花期横跨冬春，是年宵花市常客。
蝎尾蕉	原产中南美，花序如龙虾钳下垂，是热带切花的异域明星。
紫罗兰	原产地中海，紫花清香，是香水香调与中世纪花园的经典。
薰衣草	原产地中海，蓝紫花穗成海，是普罗旺斯的紫色名片与芳疗主角。
鼠尾草	生于山野与香草园，蓝紫花穗，是"智者之草"，亦可入香入药。
牵牛花	生于篱笆田间，蓝紫喇叭晨开，是鲁迅笔下与日式和歌的"朝颜"。
兜兰	生于林下阴处，唇瓣如拖鞋，是兰科"活化石"，许多种濒危。
波斯菊	原产墨西哥，粉白紫花如星，是高原"格桑花"最常见的指代。
曼陀罗	生于路旁荒地，白花喇叭，是佛前圣花亦是全株有毒的魔法植物。
鹤望兰	原产南非，花如仙鹤仰望，是热带花艺的标志性切花。
银莲花	原产地中海，花瓣薄如绢，是以色列国花，是"风之花"。
牡丹	原产中国，花大色艳，是"花中之王"，洛阳牡丹甲天下。
三色堇	原产欧洲，三色如猫脸，是《仲夏夜之梦》里的魔法花。
一品红	原产墨西哥，红苞如焰，是圣诞与春节最经典的节日装饰花。
晚香玉	原产墨西哥，白花成串夜香浓，是香水原料与老上海的记忆。
大花萱草	萱草园艺种，花大色艳，花期绵延，是花境的"多年生劳模"。
墨兰	原产中国南部，花紫褐如墨，是春节"报岁兰"，年花首选。
卡特兰	原产中南美，花大如蝶，是"兰中之王"，名贵切花与收藏热点。
万寿菊	原产墨西哥，金黄成球，是亡灵节之花与花坛常客，耐热好养。
非洲菊	原产南非，花色艳丽花茎挺拔，是花店常用切花与开业花篮常客。
量天尺花	生于热带，白花夜开如莲，果即火龙果，广东人用以煲汤。
韭兰	原产南美，粉花风雨后成片开放，是草坪与花坛的"风雨花"。
卷丹	生于山野，橙红花瓣带紫斑反卷，鳞茎可食，是食用百合之源。
番红花	原产中东，花柱头是珍贵香料，采摘全靠人工，故价值连城。
蝴蝶兰	原产东南亚，花如蝶飞，是年宵花市场的"花中皇后"。
香石竹	原产地中海，花边如锯齿，是母亲节官方之花，象征母爱。
勿忘我	原产欧亚，蓝花如星，是阿拉斯加州花，也是思念与约定的象征。
