# 故事补长清单 B：中文名 | 补充句（追加到原故事末尾）
毛茛	生于田埂路边与湿草地，春天成片开放如撒金，是田野里最亮眼的"小油灯"。
田旋花	生于田间路旁，粉红小喇叭朝开暮合，是野花花园与生态草坪的可爱点缀。
天竺葵	原产南非，花球红粉紫白，从春开到秋，是窗台与阳台最经典的"花球"。
金铃花	原产南美，橙红花冠如灯笼垂挂，花期为春夏秋三季，盆栽与庭院皆宜。
蒲包花	原产南美安第斯，花形如荷包，色彩带斑，是温室花展里的"钱袋花"。
耧斗菜	原产北温带，花形如倒挂小鸽，蓝紫粉白皆有，是英式花园的"仙气担当"。
蓝花藤	原产中美洲，蓝紫花串如葡萄，春末夏初开放，宜攀架成浪漫花廊。
无忧花	生于热带林缘，橙红如焰，是佛教圣树之花，南方寺庙与庭院常见。
罗勒花	原产亚洲热带，白紫小花成穗，是厨房香草的"花塔"，花期盛夏。
探春花	原产中国，金黄小花成簇，花期比迎春略晚，是"探看春天"的金花。
蓝眼菊	原产南非，蓝紫花瓣配深色花心，喜阳耐旱，午后花朵闭合如眨眼。
一串红	原产南美，红花如串炮仗，是节庆花坛与校园的经典"红主角"。
夜来香	原产美洲热带，白花入夜浓香，是夏夜庭院的主角，香气引蛾传粉。
香叶天竺葵	原产南非，叶带玫瑰香，可驱蚊制精油，是阳台香草园的"香气担当"。
落新妇	生于林下阴湿处，羽毛状花序如新娘捧纱，是切花与干花的新宠。
虎耳草	生于阴湿石壁，圆叶带白脉，花白细碎，全草入药，是江南墙角的常客。
紫萼	生于林下阴处，花紫白如小钟，耐晒耐旱，是园林树荫下的清雅花丛。
滨菊	生于海滨田野，白瓣黄心，是欧洲最经典的雏菊，象征和平与纯真。
蛇鞭菊	原产北美，紫色花穗如鞭直立，从底向上开花，是花境与切花的竖线担当。
飞燕草	原产欧洲，蓝紫花穗如飞燕，是英式花园与切花的经典"竖向花"。
琉璃苣	原产地中海，天蓝星花下垂，叶有黄瓜香，是"勇气之星"与蜜源花。
藏报春	原产中国西南，花梗细长花冠轮状，生于林下阴湿处，花期冬春。
仙客来	原产地中海沿岸，花瓣反卷如兔耳，是春节与年宵花市的高档盆栽。
非洲凤仙	原产东非，花色丰富四季可开，耐阴喜湿，是窗台与花坛的"玻璃翠"。
醉蝶花	原产南美，雄蕊细长如蝶须，花色渐变，是花境里"蝴蝶喝醉"的花球。
酢浆草	生于墙角路边，三叶一花，叶酸可食，是生命力顽强的"幸运草"。
郁李花	原产中国，粉花先叶开放如云，果如樱桃可食，是传统庭院花木。
络石花	原产中国，白花五瓣如风车，香气如茉莉，是庭院藤蔓的"风车茉莉"。
金缕梅	原产中国，早春花瓣金黄如丝缕，清香，是冬季花园的报春明星。
红花檵木	原产湖南，常年紫红，春季红花如霞，是南方绿化带的"染色大师"。
醉鱼草	原产中国，紫花成穗香引蝶，是生态花园的"蝴蝶灌木"，秋果亦可观。
马醉木花	原产日本与华东，白花如铃成串，叶有毒，是春季庭院与花艺的清雅素材。
蓝花草	原产墨西哥，蓝紫漏斗花朝开暮谢日日新开，是路边花带的"勤快蓝"。
勋章菊	原产南非，花瓣放射如奖章，阳光中开放，是花坛的"荣誉徽章"。
角堇	三色堇的小巧近亲，花色丰富，耐寒，能从秋开到春，是窗台调色盘。
石竹	原产中国，花瓣锯齿如剪，粉红居多，是传统名花与花坛的皮实主角。
旱金莲	原产南美安第斯，叶圆花艳，叶花皆可入沙拉，是阳台的"荷包蛋花"。
紫叶酢浆草	原产南美，紫叶如蝶，粉花小巧，是观叶观花两宜的盆栽新宠。
悬铃花	原产中美洲，红花不展开如小铃，全年可开，是热带庭院的常客。
龙吐珠	原产西非，白萼托红冠，花蕊如珠，是热带庭院与盆栽的"仙气花"。
红千层	原产澳大利亚，红花丝密如试管刷，春夏开放，是蜜源与观赏树。
蓝铃花	原产欧洲，蓝紫铃铛成串，是英国古老森林的"蓝色地毯"。
墨西哥鼠尾草	原产墨西哥，紫色花穗带绒，秋日成片如紫雾，是网红花海主角。
千屈菜	生于水边湿地，紫红穗花如波浪，成片开放，是湿地与溪流的主角。
慈姑花	生于水田，白花轮生茎顶，球茎是冬春佳肴，是江南水乡的"白花灯"。
紫菀	生于山坡草地，蓝紫星花，根入药润肺，是夏秋之交花境的蓝色精灵。
百日草	原产墨西哥，花色繁多花期百日，是花坛与阳台的"百搭主角"。
堆心菊	原产北美，花心凸起金黄，花瓣下垂如裙，是秋日花境的"小太阳"。
翠雀花	生于高山草甸，蓝花如翠鸟，是蓝花界的"高原飞鸟"，清冽纯净。
美女樱	原产南美，花色缤纷聚成小伞，花期长，是花坛与吊篮的"色块担当"。
新几内亚凤仙	原产新几内亚，花大色艳叶带彩纹，耐半阴，是花坛的高档凤仙。
千日红	原产热带，紫红花球干后不褪色，是干花束的经典，花期夏秋。
蓟花	生于荒野山坡，紫花带刺，是苏格兰国花，象征守护与独立。
朱顶红	原产中南美，花大如喇叭，鳞茎硕大，是春节花市的"鸿运当头"。
檵木花	生于山野与园林，白花如纸屑飘雪，春末开放，是"飘白花的老灌木"。
铁筷子	生于林下阴湿处，冬末开花，花瓣带紫斑，是欧洲最耐寒的"冬季玫瑰"。
再力花	原产中南美，蓝紫花如风铃，能夹住昆虫传粉，是湿地公园的优雅主角。
大花美人蕉	美人蕉园艺种，花大如绸，是花坛与热带花境的"女王"，越晒越艳。
翠菊	原产中国，蓝紫粉白花色丰富，秋季开放，欧洲人称"中国紫菀"。
蓍草	生于山野路旁，白粉花成伞形，是《周易》占卜之草，全草可入药。
满天星	原产欧亚草原，细碎白花如星，是花束里最温柔的配角，干花亦美。
薄荷花	原产中国与欧洲，淡紫轮生花，清凉香，是薄荷糖与茶饮的"香源"。
报春花	原产欧洲，雪未尽便开花，是"春天的信使"，庭院与阳台皆宜。
鸡冠花	原产亚洲热带，花序如红冠，秋季开放，可做干花，是秋日花坛主角。
含羞草	原产美洲热带，一碰叶片闭合，是"会害羞的草"，全株有小毒。
落地生根	原产非洲马达加斯加，叶缘生芽落地成株，是"不死鸟"多肉。
八宝景天	多肉家族，粉白花伞秋日开放，耐旱耐寒，是屋顶绿化的明星。
金银木花	原产中国，白花渐黄成对开放，秋果红艳，是观花观果两宜的灌木。
花菖蒲	日本鸢尾名品，蓝紫大花如绸，初夏水边成片如紫云，是"菖蒲祭"主角。
射干	生于山坡路旁，橙红花瓣带斑如虎纹，根入药，是药草园里的妖娆花。
梭鱼草	原产北美，蓝紫花穗如麦浪，是湿地与生态净水的常客，花期长。
孔雀草	原产墨西哥，橙黄花成片，耐热耐晒，是花坛与路边的"皮实劳模"。
矢车菊	原产欧洲，蓝紫花瓣如齿轮，是德国国花，麦田与路边常见。
冰岛罂粟	原产北极圈附近，花色薄如蝉翼，耐寒，是"极光下的薄纱花"。
桂竹香	原产欧洲，橙黄紫红花簇香浓，耐旱耐寒，是古堡墙脚的"暖香"。
洋金凤	原产美洲热带，橙红瓣金黄蕊如凤凰，是巴巴多斯国花，花期长。
接骨木花	原产欧洲，白花伞聚如盘香似梨，是守护之树，花可做饮。
石楠花	原产中国，白花球香浓，四季常绿秋冬红果，是南方园林常见灌木。
枇杷花	原产中国，秋冬白花带绒香清甜，是枇杷蜜之源，也是报冬的花。
光萼荷花	原产中南美，粉红花穗如塔，叶带银纹，是空气凤梨家族盆栽。
南天竹花	原产中国，白花成串，秋冬红果，是春节瓶供与庭院常青灌木。
倒挂金钟	原产中南美高山，花如彩灯，红紫双色，是阳台垂吊的"皇后"。
虾衣花	原产墨西哥，红褐苞片叠如虾壳，四季可开，是热带庭院趣味花。
