# 花语花园小故事清单
# 列：中文名 | 小故事（100-150 字，概述性引用，不逐字复制原文）
梅花	梅花居中国四君子之首。陆游咏梅"零落成泥碾作尘，只有香如故"，王安石"遥知不是雪，为有暗香来"都是千古名句。动漫《鬼灭之刃》里炭治郎的耳饰与和服正是麻叶与梅花纹；《火影忍者》春野樱之名来自樱花，而梅花则常在古风游戏与水墨动画中象征清高坚韧。京剧大师梅兰芳的"梅"姓与艺名亦取自梅花之清雅。
腊梅	腊梅并非梅花，却与梅并称"岁寒双友"，腊月凌寒开花，香透窗棂。李时珍《本草纲目》记其药用与香用。古画中多见雪中蜡黄腊梅与麻雀相伴。动画《夏目友人帐》的冬日山村常出现腊梅与炉火场景；《琅琊榜》中梅长苏以"梅"为姓，坚忍暗香的气质与腊梅意象暗合。民间更有"腊梅报春"之说。
桃花	《诗经》"桃之夭夭，灼灼其华"是最早的桃花赞歌；陶渊明《桃花源记》更让桃林成为理想田园的符号。动漫《犬夜叉》里戈薇与犬夜叉的羁绊始于古井与神木，桃花林则常见于《仙剑奇侠传》的古风场景。影视剧《三生三世十里桃花》让十里桃林成为仙侠经典画面。桃花也象征好运与爱情，春联年画里常画"桃花盛开"。
樱花	新海诚《秒速五厘米》那句"樱花飘落的速度是每秒五厘米"成为一代人的青春记忆；《CLANNAD》的樱花坡道、《四月是你的谎言》的四月樱花，都让樱花与遇见、告别相连。日本文化以樱花喻短暂而绚烂的生命，毕业季总唱起樱花歌。国内武汉大学樱花大道、上海樱花节，让赏樱成为每年春天的盛事。
杏花	杜牧"借问酒家何处有，牧童遥指杏花村"让杏花与春雨、酒旗紧紧相连；"杏花春雨江南"更成为江南意象的代表。戏曲《白蛇传》里许仙与白娘子相遇在清明杏花烟雨中。国画中"杏林春燕"寓意科举高中，医家则以"杏林"自称，源于三国董奉治病植杏的传说。
梨花	岑参"忽如一夜春风来，千树万树梨花开"以梨花喻边塞之雪；白居易《长恨歌》"梨花一枝春带雨"写杨贵妃泪容，后世遂以"梨花带雨"形容美人垂泪。昆曲《长生殿》与京剧《贵妃醉酒》都承此意象。《红楼梦》中梨香院是十二官学戏之所，梨白也成为纯净哀婉的文学符号。
李花	李花洁白繁密，与桃花并称"桃李"，象征桃李满天下的师恩。汉末崔骃《达旨》已有"桃李不言"之义，唐代则常以桃李喻门生。杨万里写"李花宜远更宜繁"，远望如雪。现代校园剧与毕业季里，成片李花常作为纯净青春的背景，寓意学子如春木成材。
苹果花	苹果在西方文化中充满传奇：伊甸园的智慧之果、牛顿的万有引力传说、白雪公主的毒苹果，都让苹果花带上一层故事色彩。欧美婚礼常以苹果花点缀捧花，象征平安与祝福。英剧《唐顿庄园》的果园场景里苹果花是春日重要风景；园艺爱好者则把苹果花开视为丰收的前奏。
海棠花	海棠雅号"花中神仙"，苏轼"只恐夜深花睡去，故烧高烛照红妆"写尽娇态。《红楼梦》中探春发起"海棠诗社"，大观园众人以海棠为题联诗；"海棠春睡"更成为名媛慵美的经典意象。传统园林以海棠配玉兰、牡丹、桂花，取"玉堂富贵"之意，海棠居其首。
垂丝海棠	垂丝海棠花梗细长下垂，如美人低首含羞，唐代已有"垂丝海棠"之名。明代《花镜》称其"花态最柔"。古风游戏《江南百景图》的春日江南场景常以垂丝海棠点缀亭台水榭；园林里它与紫荆同植，取"玉棠富贵"之意。花语是温柔婉约、情意绵绵。
