# 故事补长清单 C：中文名 | 补充句（追加到原故事末尾）
虾脊兰	生于山野林下，花色绿紫褐，低调内秀，是兰科中的"山野隐士"。
萍蓬草	生于池塘静水，金黄小花浮水而开，根茎入药，是"水中金莲"。
大滨菊	原产欧洲，花大如轮白瓣黄心，初夏开放，切花水养可开一周。
麦秆菊	原产澳洲，花瓣硬如纸花，干后不褪色，是制作干花的经典材料。
黑种草	原产地中海，蓝花藏于细叶雾中，种子是中东面包的香料。
柳叶马鞭草	原产南美，紫花成球如紫雾，是网红"薰衣草花海"的常见替身。
圆叶牵牛	生于路旁篱笆，蓝紫喇叭晨开，是城市里"野生喇叭"的平凡美好。
打碗花	生于田埂路边，粉紫小喇叭朝开暮合，是童年"不能摘的花"。
月光花	原产热带美洲，白花入夜开放如绸，天明闭合，是"夜之白玫瑰"。
瓦松	生于瓦缝石墙，多肉如塔，粉白花穗，是古诗里的"瓦上青"。
大花葱	原产中亚，紫红花球硕大如棒棒糖，初夏开放，是花境的"摩天轮"。
金鱼草	原产地中海，花如金鱼张嘴，多彩花穗，是小朋友最爱的互动花。
火棘花	原产中国，白花成簇，秋冬红果满枝如焰，是冬季观果明星。
依兰花	原产东南亚，黄花细长香浓，是香水工业的"香水树之花"。
紫娇花	原产南非，叶如韭花如百合，紫红花球，花期从春到秋。
白及	生于林下阴湿处，粉紫花如兰丛生，根茎入药，是"药花双栖"的兰草。
德国洋甘菊	原产欧洲，比罗马洋甘菊更纤细，蓝香油是护肤品珍品。
蒲公英	生于路旁田野，黄花后变白绒球，种子随风远行，全草入药可食。
金鸡菊	原产北美，金黄成片，耐旱耐贫瘠，是公路边坡的"金光大道之花"。
肥皂草	原产欧洲，根含皂苷可洗衣，粉白花成簇，是"会起泡沫的野花"。
凤仙花	原产亚洲，花色缤纷，种荚一碰弹射，是染指甲的童年花。
红花酢浆草	原产南美，粉花如小伞，三叶常被唤作"三叶草"，春夏不断。
非洲紫罗兰	原产东非，紫粉蓝花四季可开，耐阴，是室内桌角的"国民花"。
高山杜鹃	生于高海拔山林，花大色艳，是云南四川的"花海之王"。
菖蒲花	生于水边湿地，叶如剑，是端午门前的绿剑，也是文人案头清供。
小丽花	大丽花迷你版，花色丰富，花期从夏到秋，是阳台花坛的"低维护美人"。
黑心金光菊	原产北美，金黄瓣紫黑心，花期夏秋，是草原生态花境的骨干。
天人菊	原产北美，红黄相间如火焰，耐旱耐盐，是沙地海滨的"小火炬"。
四季报春	报春花园艺种，花大色艳，几乎全年可开，是花市的"常春盆栽"。
五色梅	原产美洲热带，一球多色，耐热皮实，是南方花带与入侵植物。
紫云英	生于稻田，紫红小花如毯，是绿肥与蜜源，春耕前的紫色地毯。
豌豆花	生于菜园，白紫小花如蝶，是孟德尔遗传实验的主角之花。
金银花	原产中国，白花转金一蒂双花，清热解毒，是"鸳鸯藤"。
小苍兰	原产南非，花似漏斗香气清甜，是香水香调与早春切花。
球兰	原产亚洲热带，花球如蜡制绣球，垂吊盆栽，花蜜可滴落。
花毛茛	原产西亚，层层花瓣如牡丹，是花店春季最受欢迎的"洋牡丹"。
铁线莲	原产中国与日本，藤蔓如铁丝，花大如盘，是"藤本皇后"。
