# 扩写稿补长第二批：中文名 | 追加句（目标 300-400 字）
桃花	它也是三月江南最温柔的乡愁，一场春雨便落红满地。
樱花	若论花期的仪式感，樱花大概是全世界最认真的一朵。
海棠花	每年春天，北京植物园与元大都遗址的海棠花溪都挤满游客。
月季	养护上它喜光耐旱，勤修剪、勤施肥，花期便能真正全年不断。
山茶花	它喜欢微酸性土壤与半阴环境，地栽盆栽皆宜，是南方庭院四季常绿的底色。
杜鹃花	养护上杜鹃喜酸性土壤、忌暴晒与积水，春夏之交见干见湿，便能年年开成一片花云；若逢一场春雨，漫山花海更添湿润的灵气。
桂花	庭院里种桂还有讲究：桂花宜在屋前，取"门前有桂，贵气盈门"之意，是中国人最吉利的绿化。
茉莉花	泡一杯茉莉花茶，揭开杯盖的那一刻，香气扑面而来，是许多北方家庭最熟悉的味道；茉莉花虽小，却把"清雅"二字做到了极致。
紫藤	紫藤喜阳光、忌积水，种在廊架旁三五年便能成瀑；花落时节，紫色花瓣铺满地面，如一张天然花毯。
玉兰	玉兰树形挺拔，可高达十余米，适合庭院孤植或列植成行，春来一树花开，气势不输任何名花。
栀子花	栀子花喜温暖湿润、忌烈日暴晒，盆栽宜用微酸性土；花开时节满屋甜香，是南方阳台的夏日名片，摘一朵放在书桌旁，抬眼便能闻到夏天的味道。
绣球花	养护上绣球喜半阴、怕暴晒，土壤酸碱决定花色，想要蓝花可在花期前施铝肥，想要粉花则适当加石灰；调整土壤，是养绣球最大的乐趣。
水仙花	水养水仙只需清水与阳光，花期控制得当，正月初一前后恰好盛开；看着鳞茎抽芽、花箭一天天长高，是腊月里最温柔的等待。
百合	切花百合瓶插时剪斜口、勤换水，可开十余天；若种在花园里，鳞茎会一年年分球，越开越多。
郁金香	球根秋季种下、春季开花，是"种下球根等春天"的浪漫；郁金香还是最早被炒作的"奢侈花"，花市与史书里都有它的名字。
风信子	水培时水位离鳞茎底部约一厘米，先放阴凉处生根、再移到窗台见光，花箭便会准时拔高。
铃兰	在欧洲，铃兰还常被制成新娘捧花与婚礼回礼，寓意"幸福的归来"，是五月最浪漫的祝福。
荷花	夏日赏荷宜清晨，含露初开最娇；荷叶荷花皆可入馔，荷花茶、荷叶粥，是中国人把花吃进日子的证据。
睡莲	养睡莲需要充足阳光与静水，碗莲、睡莲都是阳台水景的新宠；它昼开夜合，清晨去看最好，一池睡莲，就是迷你版的莫奈花园。
向日葵	向日葵种子即瓜子，秋收时节一盘盘垂头，是"丰收"二字的实体；栽种喜光，越晒花开越大，是少有的既好看又能吃出快乐的花。
雏菊	雏菊也是草坪缀花的主角，与蒲公英、三叶草一起，构成"不用打理也好看"的野趣草坪。
菊花	秋菊宜凉，浇水见干见湿，摘心打顶能让花头更丰满，是花友每年秋天最期待的一件事。
蒲公英	蒲公英的花序昼开夜合，天晴时才完全张开，像在等太阳上班，然后郑重其事地开放。
芍药	芍药切花价格不菲，花期又短，正因"美得短暂"，才让人格外珍惜。
虞美人	虞美人花茎纤弱，不适合切花，却适合成片种植，风起时花海起伏，如一片会呼吸的绸缎。
薰衣草	每年六月盛花期，伊犁还会举办薰衣草节，花田与蓝天相映，如一幅紫色的油画。
桔梗	桔梗喜光耐旱，山坡草地随处可见；秋日蓝花点缀草丛，是山野里最干净的一抹蓝。
